,Date,Symbol,_id,close,exchange,frequency,high,industry,logo_url,low,open,processing_time,sector,sentiment_change,st_id,title,trending,trending_score,utcDate,volume,volume_change,vwap,watchlist_count,watchlist_member,watchlist_number
0,2020-06-03 04:00:01 -04:00,MSFT,5ed75881d443fd5e82a824e2,184.94,NASDAQ,1m,185.16,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,184.94,185.16,0.6882336139678955,Technology,1.24,2735,Microsoft Corporation,False,-0.56988,2020-06-03 04:00:01.348,200.0,1.72,,202511,True,1.0
1,2020-06-03 04:04:01 -04:00,MSFT,5ed75971d443fd5e82a8298a,185.17,NASDAQ,1m,185.17,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,185.17,185.17,0.697941780090332,Technology,1.24,2735,Microsoft Corporation,False,-1.9713,2020-06-03 04:04:01.053,100.0,1.72,,202539,True,1.0
2,2020-06-03 04:34:01 -04:00,MSFT,5ed76079d443fd5e82a84c62,185.17,NASDAQ,1m,185.17,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,185.17,185.17,0.6149780750274658,Technology,1.21,2735,Microsoft Corporation,False,-2.1814,2020-06-03 04:34:01.055,591.0,1.57,,202539,True,1.0
3,2020-06-03 04:37:01 -04:00,MSFT,5ed7612dd443fd5e82a84fdd,185.17,NASDAQ,1m,185.17,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,185.17,185.17,0.9971821308135986,Technology,1.21,2735,Microsoft Corporation,False,-2.1814,2020-06-03 04:37:01.432,100.0,1.57,,202539,True,1.0
4,2020-06-03 04:48:01 -04:00,MSFT,5ed763c1d443fd5e82a85ca0,185.0,NASDAQ,1m,185.03,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,185.0,185.03,0.6976487636566162,Technology,1.21,2735,Microsoft Corporation,False,-3.16777,2020-06-03 04:48:01.554,714.0,1.57,,202539,True,1.0
5,2020-06-03 04:53:01 -04:00,MSFT,5ed764edd443fd5e82a8626d,185.2,NASDAQ,1m,185.2,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,185.2,185.2,0.7384676933288574,Technology,1.21,2735,Microsoft Corporation,False,-3.16777,2020-06-03 04:53:01.260,299.0,1.57,,202539,True,1.0
6,2020-06-03 04:55:01 -04:00,MSFT,5ed76565d443fd5e82a864bf,185.25,NASDAQ,1m,185.3,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,185.25,185.3,0.8093657493591309,Technology,1.21,2735,Microsoft Corporation,False,-3.16777,2020-06-03 04:55:01.167,559.0,1.57,,202539,True,1.0
7,2020-06-03 05:00:01 -04:00,MSFT,5ed76691d443fd5e82a86a8c,185.31,NASDAQ,1m,185.31,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,185.31,185.31,0.733534574508667,Technology,1.21,2735,Microsoft Corporation,False,-3.16777,2020-06-03 05:00:01.102,119.0,1.57,,202539,True,1.0
8,2020-06-03 05:05:01 -04:00,MSFT,5ed767bdd443fd5e82a87059,185.25,NASDAQ,1m,185.25,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,185.25,185.25,0.7754948139190674,Technology,1.21,2735,Microsoft Corporation,False,-1.84347,2020-06-03 05:05:01.746,136.0,1.57,,202546,True,1.0
9,2020-06-03 05:24:01 -04:00,MSFT,5ed76c31d443fd5e82a88664,185.25,NASDAQ,1m,185.25,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,185.25,185.25,0.6536190509796143,Technology,1.52,2735,Microsoft Corporation,False,-1.16665,2020-06-03 05:24:01.403,100.0,1.67,,202546,True,1.0
10,2020-06-03 05:39:01 -04:00,MSFT,5ed76fb5d443fd5e82a897cb,185.2,NASDAQ,1m,185.2,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,185.2,185.2,0.6332533359527588,Technology,1.52,2735,Microsoft Corporation,False,-1.16665,2020-06-03 05:39:01.418,116.0,1.67,,202546,True,1.0
11,2020-06-03 05:50:00 -04:00,MSFT,5ed77248d443fd5e82a8a48e,185.45,NASDAQ,1m,185.45,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,185.45,185.45,0.7385377883911133,Technology,1.52,2735,Microsoft Corporation,False,-1.66405,2020-06-03 05:50:00.790,200.0,1.67,,202546,True,1.0
12,2020-06-03 05:51:01 -04:00,MSFT,5ed77285d443fd5e82a8a5b7,185.6,NASDAQ,1m,185.6,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,185.47,185.47,0.8041398525238037,Technology,1.52,2735,Microsoft Corporation,False,-1.66405,2020-06-03 05:51:01.786,1040.0,1.67,,202546,True,1.0
13,2020-06-03 05:55:01 -04:00,MSFT,5ed77375d443fd5e82a8aa5b,185.7,NASDAQ,1m,185.7,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,185.7,185.7,0.8565545082092285,Technology,1.52,2735,Microsoft Corporation,False,-1.66405,2020-06-03 05:55:01.443,100.0,1.67,,202546,True,1.0
14,2020-06-03 05:56:01 -04:00,MSFT,5ed773b1d443fd5e82a8ab84,185.59,NASDAQ,1m,185.59,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,185.59,185.59,0.6694633960723877,Technology,1.52,2735,Microsoft Corporation,False,-1.66405,2020-06-03 05:56:01.300,100.0,1.67,,202546,True,1.0
15,2020-06-03 05:57:01 -04:00,MSFT,5ed773edd443fd5e82a8acad,185.59,NASDAQ,1m,185.6,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,185.59,185.6,0.6359584331512451,Technology,1.52,2735,Microsoft Corporation,False,-1.66405,2020-06-03 05:57:01.125,200.0,1.67,,202546,True,1.0
16,2020-06-03 06:05:01 -04:00,MSFT,5ed775cdd443fd5e82a8b5f5,185.16,NASDAQ,1m,185.16,Application Software,http://logos.xignite.com/NASDAQGS/00019590.gif,185.16,185.16,0.6845848560333252,Technology,1.52,2735,Microsoft Corporation,False,-1.73125,2020-06-03 06:05:01.371,461.0,1.67,,202567,True,1.0
