,Date,Symbol,_id,close,exchange,frequency,high,industry,logo_url,low,open,processing_time,sector,sentiment_change,st_id,title,trending,trending_score,utcDate,volume,volume_change,vwap,watchlist_count,watchlist_member,watchlist_number
0,2020-06-03 08:57:00 -04:00,GOOG,5ed79e1cd443fd5e82a97d5b,1432.03,NASDAQ,1m,1432.03,Internet Information Providers,http://logos.xignite.com/NASDAQGS/00081677.gif,1432.03,1432.03,0.6185672283172607,Technology,3.26,2044,Alphabet Inc. Class C,False,-0.419894,2020-06-03 08:57:00.793,100.0,-0.73,,147289,True,1.0
1,2020-06-03 09:30:01 -04:00,GOOG,5ed7a5d9d443fd5e82a9a383,1437.72,NASDAQ,1m,1440.385,Internet Information Providers,http://logos.xignite.com/NASDAQGS/00081677.gif,1436.83,1438.3,0.9332025051116943,Technology,4.59,2044,Alphabet Inc. Class C,False,1.18553,2020-06-03 09:30:01.090,22485.0,-0.55,,147293,True,1.0
2,2020-06-03 09:31:01 -04:00,GOOG,5ed7a615d443fd5e82a9a4ab,1433.1112,NASDAQ,1m,1437.23,Internet Information Providers,http://logos.xignite.com/NASDAQGS/00081677.gif,1432.78,1436.83,1.3853414058685303,Technology,4.59,2044,Alphabet Inc. Class C,False,1.18553,2020-06-03 09:31:01.662,4584.0,-0.55,,147293,True,1.0
3,2020-06-03 09:32:01 -04:00,GOOG,5ed7a651d443fd5e82a9a5d3,1434.4,NASDAQ,1m,1434.4,Internet Information Providers,http://logos.xignite.com/NASDAQGS/00081677.gif,1433.195,1433.72,1.0693151950836182,Technology,4.59,2044,Alphabet Inc. Class C,False,1.18553,2020-06-03 09:32:01.919,1100.0,-0.55,,147293,True,1.0
4,2020-06-03 09:33:00 -04:00,GOOG,5ed7a68cd443fd5e82a9a6fb,1435.9933,NASDAQ,1m,1437.0364,Internet Information Providers,http://logos.xignite.com/NASDAQGS/00081677.gif,1433.84,1433.84,0.795661211013794,Technology,4.59,2044,Alphabet Inc. Class C,False,1.18553,2020-06-03 09:33:00.895,1820.0,-0.55,,147293,True,1.0
5,2020-06-03 09:34:00 -04:00,GOOG,5ed7a6c8d443fd5e82a9a823,1436.38,NASDAQ,1m,1437.33,Internet Information Providers,http://logos.xignite.com/NASDAQGS/00081677.gif,1435.8155,1436.6959,0.8696589469909668,Technology,4.59,2044,Alphabet Inc. Class C,False,1.18553,2020-06-03 09:34:00.947,2300.0,-0.55,,147293,True,1.0
6,2020-06-03 09:35:01 -04:00,GOOG,5ed7a705d443fd5e82a9a94b,1436.31,NASDAQ,1m,1437.5455,Internet Information Providers,http://logos.xignite.com/NASDAQGS/00081677.gif,1435.69,1437.2485,0.894096851348877,Technology,4.59,2044,Alphabet Inc. Class C,False,1.18553,2020-06-03 09:35:01.025,2200.0,-0.55,,147293,True,1.0
7,2020-06-03 09:36:00 -04:00,GOOG,5ed7a740d443fd5e82a9aa73,1435.33,NASDAQ,1m,1436.23,Internet Information Providers,http://logos.xignite.com/NASDAQGS/00081677.gif,1435.21,1435.89,0.7870821952819824,Technology,4.59,2044,Alphabet Inc. Class C,False,1.18553,2020-06-03 09:36:00.992,1200.0,-0.55,,147293,True,1.0
8,2020-06-03 09:37:01 -04:00,GOOG,5ed7a77dd443fd5e82a9ab9b,1437.9,NASDAQ,1m,1438.41,Internet Information Providers,http://logos.xignite.com/NASDAQGS/00081677.gif,1434.82,1434.94,0.908707857131958,Technology,4.59,2044,Alphabet Inc. Class C,False,1.18553,2020-06-03 09:37:01.078,2300.0,-0.55,,147293,True,1.0
9,2020-06-03 09:38:01 -04:00,GOOG,5ed7a7b9d443fd5e82a9acc3,1436.375,NASDAQ,1m,1438.2825,Internet Information Providers,http://logos.xignite.com/NASDAQGS/00081677.gif,1436.375,1438.1,0.8428001403808594,Technology,4.59,2044,Alphabet Inc. Class C,False,1.18553,2020-06-03 09:38:01.108,5213.0,-0.55,,147293,True,1.0
